# https://www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt
# https://translated.turbopages.org/proxy_u/en-ru.ru.99294af1-6746a008-8ed92243-74722d776562/https/www.unicode.org/Public/16.0.0/ucd/emoji/emoji-data.txt

# emoji-data.txt
# Дата: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode и логотип Unicode являются зарегистрированными товарными знаками Unicode, Inc. в США и других странах.
# Условия использования и лицензии см. в разделе https://www.unicode.org/terms_of_use.html
#
# Данные эмодзи для UTS #51
# Используется с Emoji версии 16.0 и последующими незначительными изменениями (если таковые имеются)
#
# Документацию и способы использования см. в разделе https://www.unicode.org/reports/tr51
#
# Формат: 
# <кодовые точки> ; <свойство> # <комментарии> 
# Примечание: нет гарантии относительно структуры пробелов или комментариев
#
# Символы и последовательности перечислены в порядке кодовых обозначений. Пользователям следует показывать более естественный порядок.
# Смотрите порядок сортировки смайликов в CLDR.


# ================================================

# Все пропущенные кодовые точки имеют эмодзи = Нет

# 0023; Эмодзи # E0.0 [1] (#️) хэш-знак
# 002A ; Эмодзи # E0.0 [1] (*️) звездочка
# 0030..0039 ; Эмодзи # E0.0 [10] (0️..9️) цифра ноль .. цифра девять
26D5 ..26E8 ; Расширенный графический # E0.0 [20] (⛕..⛨) АЛЬТЕРНАТИВНОЕ ОДНОСТОРОННЕЕ ДВИЖЕНИЕ НАЛЕВО .. ЧЕРНЫЙ КРЕСТ На ЩИТЕ
26E9 ; Расширенный фотограф# E0.7 [1] (⛩️) синтоистский храм
26EA ; Расширенный фотограф# E0.6 [1] (⛪) церковь
26EB..26EF ; Расширенный графический# E0.0 [5] (⛫..⛯) ЗАМОК..ОБОЗНАЧЕНИЕ МАЯКА На КАРТЕ
26F0..26F1 ; Расширенный фотограф # E0.7 [2] (⛰️..⛱️) гора .. зонтик на земле
26F2..26F3 ; Расширенный графический # E0.6 [2] (⛲..⛳) фонтан .. флаг в отверстии
26F4 ; Расширенный фотограф # E0.7 [1] (⛴️) паром
26F5 ; Расширенный фотограф # E0.6 [1] (⛵) парусник
26F6 ; Extended_Pictographic# E0.0 [1] (⛶) КВАДРАТ С ЧЕТЫРЬМЯ УГЛАМИ
26F7 ..26F9 ; Расширенный графический # E0.7 [3] (⛷️..⛹️) лыжник .. человек, отбивающий мяч
26FA ; Расширенная фотограф-палатка# E0.6 [1] (⛺)
26FB..26FC ; Расширенный графический # E0.0 [2] (⛻..⛼) СИМВОЛ ЯПОНСКОГО БАНКА .. СИМВОЛ НАДГРОБИЯ НА КЛАДБИЩЕ
26FD ; Расширенный графический # E0.6 [1] (⛽) топливный насос
26FE..2701 ; Расширенный фотограф # E0.0 [4] (⛾..✁) ЧАШКА НА ЧЕРНОМ КВАДРАТЕ..НОЖНИЦЫ С ВЕРХНИМ ЛЕЗВИЕМ
2702 ; Расширенные фотограф-ножницы # E0.6 [1] (✂️)
2703..2704 ; Extended_Pictographic# E0.0 [2] (✃..✄) НОЖНИЦЫ С НИЖНИМ ЛЕЗВИЕМ..БЕЛЫЕ НОЖНИЦЫ
2705 ; Extended_Pictographic# E0.6 [1] (✅) кнопка для флажка
2708..270C ; Расширенный фотограф # E0.6 [5] (✈️..✌️) самолет..рука победы
270D ; Расширенный графический номер E0.7 [1] (✍️) пишущий почерк
270E ; Расширенный графический # E0.0 [1] (✎) НИЖНИЙ ПРАВЫЙ КАРАНДАШ
270F ; Расширенный графический# E0.6 [1] (✏️) карандаш
2710..2711 ; Расширенный графический # E0.0 [2] (✐..✑) ВЕРХНИЙ ПРАВЫЙ КАРАНДАШ .. БЕЛОЕ ПЕРО
2712 ; Расширенный графический номер E0.6 [1] (✒️) черное перо 
2714 ; Extended_Pictographic# E0.6 [1] (✔️) флажок
2716 ; Extended_Pictographic# E0.6 [1] (✖️) умножить
271D ; Расширенный графический номер E0.7 [1] (✝️) латинский крест
2721 ; Расширенный фотограф# E0.7 [1] (✡️) звезда Давида
2728 ; Extended_Pictographic# E0.6 [1] (✨) блестки
2733..2734 ; Расширенный графический # E0.6 [2] (✳️..✴️) звездочка с восемью спицами .. восьмиконечная звезда
2744 ; Расширенный графический номер E0.6 [1] (❄️) снежинка
2747 ; Расширенный фотограф # E0.6 [1] (❇️) блеск
274C ; Расширенный графический# E0.6 [1] (❌) крестовый знак
274E ; Extended_Pictographic# E0.6 [1] (❎) кнопка перекрестного обозначения
2753..2755 ; Расширенный графический # E0.6 [3] (❓..❕) красный вопросительный знак .. белый восклицательный знак 
2757 ; Расширенный графический номер E0.6 [1] (❗) красный восклицательный знак
2763 ; Расширенный фотограф # E1.0 [1] (❣️) сердечное восклицание
2764 ; Расширенный фотограф# E0.6 [1] (❤️) красное сердце
2765..2767 ; Extended_Pictographic # E0.0 [3] (❥..❧) ПОВЕРНУТАЯ ТЯЖЕЛАЯ ЧЕРНАЯ ПУЛЯ В ВИДЕ СЕРДЦА .. ПОВЕРНУТАЯ ПУЛЯ В ВИДЕ ЦВЕТОЧНОГО СЕРДЦА
2795..2797 ; Расширенный графический # E0.6 [3] (➕..➗) плюс..разделить
27A1 ; Расширенный графический # E0.6 [1] (➡️) стрелка вправо
27B0 ; Extended_Pictographic# E0.6 [1] (➰) фигурная петля
27BF ; Extended_Pictographic# E1.0 [1] (➿) двойная фигурная петля
2934 ..2935 ; Extended_Pictographic # E0.6 [2] (⤴️..⤵️) стрелка вправо, загибающаяся вверх .. стрелка вправо, загибающаяся вниз
2B05..2B07 ; Extended_Pictographic# E0.6 [3] (⬅️..⬇️) стрелка влево .. стрелка вниз
2B1B..2B1C ; Extended_Pictographic# E0.6 [2] (⬛..⬜) черный большой квадрат .. белый большой квадрат
2B50 ; расширенная_пиктографическая# E0.6 [1] (⭐) звезда
2B55 ; Расширенный графический # E0.6 [1] (⭕) полый красный круг
3030 ; Расширенный графический# E0.6 [1] (〰️) волнистая черточка
303D ; Расширенный графический # E0.6 [1] (〽️) знак чередования деталей
3297 ; Расширенный_пиктографический# E0.6 [1] (㊗️) Японская кнопка “поздравления”
3299 ; Extended_Pictographic# E0.6 [1] (㊙️) Японская “секретная” кнопка
1F000..1F003 ; Extended_Pictographic# E0.0 [4] (🀀..🀃) ПЛИТКА МАДЖОНГА ВОСТОЧНЫЙ ВЕТЕР..ПЛИТКА МАДЖОНГА СЕВЕРНЫЙ ВЕТЕР
1F004 ; Расширенный графический # E0.6 [1] (🀄) маджонг красный дракон
1F005..1F0CE ; Расширенный графический # E0.0 [202] (🀅..🃎) ПЛИТКА МАДЖОНГА ЗЕЛЕНЫЙ ДРАКОН .. ИГРАЛЬНАЯ КАРТА БУБНОВЫЙ КОРОЛЬ
1F0CF ; Расширенный графический# E0.6 [1] (🃏) джокер
1F0D0..1F0FF ; Расширенный графический# E0.0 [48] (🃐..🃿) < зарезервировано-1F0D0>..<зарезервировано-1F0FF>
1F10D..1F10F ; Extended_Pictographic# E0.0 [3] (🄍..🄏) ОБВЕДЕННЫЙ НОЛЬ КОСОЙ ЧЕРТОЙ .. ОБВЕДЕННЫЙ ЗНАК ДОЛЛАРА С НАЛОЖЕННОЙ ОБРАТНОЙ КОСОЙ ЧЕРТОЙ 
1F12F ; Extended_Pictographic# E0.0 [1] (🄯) СИМВОЛ АВТОРСКОГО ЛЕВА
1F16C..1F16F ; Расширенный фотограф # E0.0 [4] (🅬..🅯) ПОДНЯТЫЙ ЗНАК МИСТЕРА .. ОБВЕДЕННАЯ ЧЕЛОВЕЧЕСКАЯ ФИГУРА
1F170..1F171 ; Расширенный графический # E0.6 [2] (🅰️..🅱️) Кнопка A (группа крови)..Кнопка B (группа крови)
1F17E..1F17F ; Расширенный графический # E0.6 [2] (🅾️..🅿️) Кнопка O (группа крови)..КнопкаP
1F18E ; Расширенная фотография # E0.6 [1] (🆎) кнопка AB (группа крови)
1F191..1F19A ; Extended_Pictographic# E0.6 [10] (🆑..🆚) Кнопка CL.. кнопка VS
1F1AD..1F1E5 ; Расширенный графический# E0.0 [57] (🆭..🇥) РАБОЧИЙ СИМВОЛ МАСКИ..<зарезервировано-1F1E5>
1F201..1F202 ; Расширенный графический # E0.6 [2] (🈁..🈂️) Кнопка “здесь” на японском языке..Кнопка “Плата за обслуживание” на японском языке
1F203..1F20F ; Расширенный графический# E0.0 [13] (🈃..🈏) < зарезервировано-1F203>..<зарезервировано-1F20F>
1F21A ; Расширенная графическая кнопка # E0.6 [1] (🈚) на японском языке “бесплатно”
1F22F ; Extended_Pictographic# E0.6 [1] (🈯) Японская кнопка “зарезервировано”
1F232..1F23A ; Расширенный графический # E0.6 [9] (🈲..🈺) Японская кнопка “запрещено”..Японская кнопка “открыто для бизнеса”
1F23C..1F23F ; Расширенный графический# E0.0 [4] (🈼..🈿) < зарезервировано-1F23C>..<зарезервировано-1F23F>
1F249..1F24F ; Расширенный графический# E0.0 [7] (🉉..🉏) < зарезервировано-1F249>..<зарезервировано-1F24F>
1F250..1F251 ; Расширенный графический # E0.6 [2] (🉐..🉑) Японская кнопка “выгодная сделка”..Японская кнопка “приемлемо”
1F252..1F2FF ; Расширенный графический# E0.0 [174] (🉒..🋿) < зарезервировано-1F252>..<зарезервировано-1F2FF>
1F300..1F30C ; Расширенный фотограф # E0.6 [13] (🌀..🌌) циклон .. млечный путь
1F30D..1F30E; Расширенный графический # E0.7 [2] (🌍..🌎) глобус, показывающий Европу-Африку .. глобус, показывающий Америку
1F30F ; Расширенный графический # E0.6 [1] (🌏) глобус, показывающий Азию-Австралию 
1F310 ; Расширенный графический # E1.0 [1] (🌐) глобус с меридианами
1F311 ; Расширенный фотограф# E0.6 [1] (🌑) новолуние
1F312 ; Расширенный фотограф # E1.0 [1] (🌒) растущий полумесяц
1F313..1F315 ; Расширенный фотограф # E0.6 [3] (🌓..🌕) первая четверть луны ..полнолуние
1F316..1F318 ; Расширенный фотограф # E1.0 [3] (🌖..🌘) убывающая висячая луна .. убывающий полумесяц
1F319 ; Расширенный фотограф # E0.6 [1] (🌙) полумесяц
1F31A ; Расширенный фотограф # E1.0 [1] (🌚) лик новой луны 
1F31B ; Расширенный фотограф # E0.6 [1] (🌛) лик луны в первой четверти
1F31C ; Расширенный фотограф # E0.7 [1] (🌜) лик луны последней четверти
1F31D..1F31E ; Расширенный фотограф # E1.0 [2] (🌝..🌞) лицо полной луны .. солнце с лицом 
1F31F..1F320 ; расширенный фотограф # E0.6 [2] (🌟..🌠) светящаяся звезда ... падающая звезда
1F321 ; Расширенный фотограф# E0.7 [1] (🌡️) термометр
1F322..1F323 ; Расширенный фотограф # E0.0 [2] (🌢..🌣) ЧЕРНАЯ КАПЛЯ .. БЕЛОЕ СОЛНЦЕ 
1F324..1F32C ; Расширенный фотограф # E0.7 [9] (🌤️..🌬️) солнце за небольшим облаком .. ветер в лицо
1F32D..1F32F ; Расширенный графический # E1.0 [3] (🌭..🌯) хот-дог..буррито
1F330..1F331 ; Расширенный фотограф # E0.6 [2] (🌰..🌱) каштан.. саженец
1F332..1F333 ; Расширенный фотограф # E1.0 [2] (🌲..🌳) вечнозеленое дерево..листопадное дерево
1F334..1F335 ; Расширенный графический # E0.6 [2] (🌴..🌵) пальма ..кактус
1F336 ; Расширенный графический номер E0.7 [1] (🌶️) острый перец
1F337..1F34A ; Расширенный фотограф # E0.6 [20] (🌷..🍊) тюльпан..мандарин
1F34B ; Расширенный графический # E1.0 [1] (🍋) lemon
1F34C..1F34F ; Расширенный графический # E0.6 [4] (🍌..🍏) банан ..зеленое яблоко
1F350 ; Расширенный графический# E1.0 [1] (🍐) груша
1F351..1F37B ; Расширенный фотограф # E0.6 [43] (🍑..🍻) персик .. звенящие пивные кружки
1F37C ; Расширенная фотография # E1.0 [1] (🍼) детская бутылочка
1F37D ; Расширенный фотограф # E0.7 [1] (🍽️) вилка и нож с тарелкой
1F37E..1F37F ; Расширенный фотограф # E1.0 [2] (🍾..🍿) бутылка с хлопающей пробкой ..попкорн
1F380..1F393 ; Extended_Pictographic# E0.6 [20] (🎀..🎓) лента..выпускной колпачок
1F394..1F395 ; Расширенный фотограф# E0.0 [2] (🎔..🎕) СЕРДЦЕ С ВЕРХУШКОЙ СЛЕВА..БУКЕТ ЦВЕТОВ
1F396..1F397 ; Расширенный фотограф # E0.7 [2] (🎖️..🎗️) военная медаль.. лента-напоминание
1F398 ; Extended_Pictographic# E0.0 [1] (🎘) МУЗЫКАЛЬНАЯ КЛАВИАТУРА С ГНЕЗДАМИ 
1F399..1F39B ; Extended_Pictographic# E0.7 [3] (🎙️..🎛️) студийный микрофон .. ручки управления
1F39C .. 1F39D ; Extended_Pictographic # E0.0 [2] (🎜..🎝) ПЕРЕДАННЫЕ ВОСХОДЯЩИЕ МУЗЫКАЛЬНЫЕ НОТЫ .. ПЕРЕДАННЫЕ НИСХОДЯЩИЕ МУЗЫКАЛЬНЫЕ НОТЫ
1F39E..1F39F ; Extended_Pictographic# E0.7 [2] (🎞️..🎟️) кадры из фильма ..входные билеты
1F3A0..1F3C4 ; Расширенный фотограф # E0.6 [37] (🎠..🏄) карусельная лошадь .. серфинг человека
1F3C5 ; Расширенный графический номер E1.0 [1] (🏅) спортивная медаль
1F3C6 ; Расширенный фотограф# E0.6 [1] (🏆) трофей
1F3C7 ; Расширенный графический# E1.0 [1] (🏇) скачки
1F3C8 ; Расширенный графический# E0.6 [1] (🏈) американский футбол
1F3C9 ; Расширенный графический# E1.0 [1] (🏉) регби-футбол
1F3CA ; Расширенный фотограф # E0.6 [1] (🏊) человек, плавающий
1F3CB ..1F3CE ; Расширенный графический # E0.7 [4] (🏋️..🏎️) человек, поднимающий тяжести .. гоночный автомобиль
1F3CF..1F3D3 ; Расширенный графический # E1.0 [5] (🏏..🏓) игра в крикет ..пинг-понг
1F3D4..1F3DF ; Расширенный фотограф # E0.7 [12] (🏔️..🏟️) заснеженная гора.. стадион
1F3E0..1F3E3 ; Расширенный графический номер E0.6 [4] (🏠..🏣) дом..Японское почтовое отделение
1F3E4 ; Расширенный графический номер E1.0 [1] (🏤) почтовое отделение
1F3E5..1F3F0 ; Расширенный фотограф # E0.6 [12] (🏥..🏰) больница.. замок
1F3F1..1F3F2 ; Расширенный графический # E0.0 [2] (🏱..🏲) БЕЛЫЙ ВЫМПЕЛ.. ЧЕРНЫЙ ВЫМПЕЛ
1F3F3 ; Расширенный графический # E0.7 [1] (🏳️) белый флаг
1F3F4 ; Расширенный графический # E1.0 [1] (🏴) черный флаг
1F3F5 ; Расширенная фотограф# E0.7 [1] (🏵️) розетка
1F3F6 ; Расширенный фотограф # E0.0 [1] (🏶) ЧЕРНАЯ РОЗЕТКА
1F3F7 ; расширенная_пиктографическая метка # E0.7 [1] (🏷️)
1F3F8..1F3FA ; Расширенный графический # E1.0 [3] (🏸..🏺) бадминтон ..амфора
1F400..1F407 ; Расширенный графический # E1.0 [8] (🐀..🐇) крыса..кролик
1F408 ; Расширенный графический номер E0.7 [1] (🐈) cat
1F409..1F40B ; Расширенный фотограф # E1.0 [3] (🐉..🐋) дракон..кит
1F40C..1F40E ; Расширенный графический # E0.6 [3] (🐌..🐎) улитка.. лошадь
1F40F..1F410 ; Расширенный графический # E1.0 [2] (🐏..🐐) баран..козел
1F411..1F412 ; Расширенный графический # E0.6 [2] (🐑..🐒) овца..обезьяна
1F413 ; Расширенный графический# E1.0 [1] (🐓) петух
1F414 ; Расширенный фотограф# E0.6 [1] (🐔) курица
1F415 ; Расширенный фотограф# E0.7 [1] (🐕) собака
1F416 ; Расширенный графический# E1.0 [1] (🐖) свинья
1F417..1F429 ; Расширенный графический # E0.6 [19] (🐗..🐩) кабан ..пудель
1F42A ; Расширенный графический# E1.0 [1] (🐪) верблюд
1F42B..1F43E ; Расширенный фотограф # E0.6 [20] (🐫..🐾) двугорбый верблюд..отпечатки лап
1F43F ; Расширенный графический# E0.7 [1] (🐿️) бурундук
1F440 ; Расширенные фотограф# E0.6 [1] (👀) глаза
1F441 ; Расширенный фотограф# E0.7 [1] (👁️) глаз
1F442..1F464 ; Расширенный фотограф # E0.6 [35] (👂..👤) ухо ..бюст в силуэте
1F465 ; Расширенный фотограф# E1.0 [1] (👥) силуэтные бюсты
1F466..1F46B ; Расширенный фотограф # E0.6 [6] (👦..👫) мальчик .. женщина и мужчина, держащиеся за руки
1F46C..1F46D ; Расширенный фотограф # E1.0 [2] (👬..👭) мужчины держатся за руки .. женщины держатся за руки
1F46E..1F4AC ; Расширенный фотограф # E0.6 [63] (👮..💬) офицер полиции .. речевой баллон
1F4AD ; Расширенный графический # E1.0 [1] (💭) мысленный шар
1F4AE..1F4B5 ; Расширенный графический # E0.6 [8] (💮..💵) белый цветок .. долларовая банкнота
1F4B6 ..1F4B7 ; Расширенный графический # E1.0 [2] (💶..💷) банкнота евро ..банкнота в фунтах стерлингов
1F4B8..1F4EB ; Расширенный графический # E0.6 [52] (💸..📫) деньги с крыльями ..закрытый почтовый ящик с поднятым флагом
1F4EC..1F4ED ; Extended_Pictographic# E0.7 [2] (📬..📭) открыть почтовый ящик с поднятым флагом ..открыть почтовый ящик с опущенным флагом
1F4EE ; Расширенный графический# E0.6 [1] (📮) почтовый ящик
1F4EF ; Расширенный графический номер E1.0 [1] (📯) почтовый гудок
1F4F0..1F4F4 ; Расширенный фотограф # E0.6 [5] (📰..📴) газета .. мобильный телефон выключен
1F4F5 ; Extended_Pictographic# E1.0 [1] (📵) мобильных телефонов нет
1F4F6..1F4F7 ; Extended_Pictographic# E0.6 [2] (📶..📷) антенные решетки ..камера
1F4F8 ; Extended_Pictographic# E1.0 [1] (📸) фотокамера со вспышкой
1F4F9..1F4FC ; Extended_Pictographic# E0.6 [4] (📹..📼) видеокамера..видеокассета
1F4FD ; Расширенный фотограф # E0.7 [1] (📽️) кинопроектор
1F4FE ; Extended_Pictographic# E0.0 [1] (📾) ПОРТАТИВНАЯ СТЕРЕОСИСТЕМА
1F4FF ..1F502 ; Расширенный графический # E1.0 [4] (📿..🔂) четки .. повторить одной кнопкой
1F503 ; Extended_Pictographic# E0.6 [1] (🔃) вертикальные стрелки по часовой стрелке
1F504..1F507 ; Расширенный графический # E1.0 [4] (🔄..🔇) кнопка со стрелками против часовой стрелки .. приглушенный динамик
1F508 ; Extended_Pictographic # E0.7 [1] (🔈) динамик с низкой громкостью
1F509 ; Extended_Pictographic# E1.0 [1] (🔉) динамик средней громкости
1F50A..1F514 ; Extended_Pictographic # E0.6 [11] (🔊..🔔) громкость динамика высокая.. звонок
1F515 ; Extended_Pictographic# E1.0 [1] (🔕) колокольчик с косой чертой
1F516..1F52B ; Расширенный фотограф # E0.6 [22] (🔖..🔫) закладка ..водяной пистолет
1F52C..1F52D ; Расширенный фотограф # E1.0 [2] (🔬..🔭) микроскоп..телескоп
1F52E..1F53D ; Расширенный графический # E0.6 [16] (🔮..🔽) хрустальный шар .. кнопка вниз
1F546..1F548 ; Расширенный графический # E0.0 [3] (🕆..🕈) БЕЛЫЙ ЛАТИНСКИЙ КРЕСТ ..КЕЛЬТСКИЙ КРЕСТ
1F549..1F54A ; Расширенный графический # E0.7 [2] (🕉️..🕊️) ом..голубь
1F54B..1F54E ; Расширенный фотограф # E1.0 [4] (🕋..🕎) кааба..менора
1F54F ; Расширенный фотограф# E0.0 [1] (🕏) ЧАША ГИГИЕНЫ
1F550..1F55B ; Расширенный графический # E0.6 [12] (🕐..🕛) час дня..двенадцать часов
1F55C..1F567 ; Расширенный графический # E0.7 [12] (🕜..🕧) час тридцать..двенадцать тридцать
1F568..1F56E ; Расширенный графический # E0.0 [7] (🕨..🕮) ПРАВЫЙ ДИНАМИК .. КНИГА
1F56F..1F570 ; Расширенный фотограф # E0.7 [2] (🕯️..🕰️) свеча.. часы на каминной полке
1F571..1F572 ; Расширенный фотограф # E0.0 [2] (🕱..🕲) ЧЕРНЫЙ ЧЕРЕП И CROSSBONES..NO ПИРАТСТВО
1F573..1F579 ; Расширенный графический # E0.7 [7] (🕳️..🕹️) отверстие.. джойстик
1F57A ; Расширенный фотограф # E3.0 [1] (🕺) танцующий мужчина
1F57B ..1F586 ; Расширенный фотограф # E0.0 [12] (🕻..🖆) ТЕЛЕФОННАЯ ТРУБКА В ЛЕВОЙ РУКЕ .. РУЧКА ПОВЕРХ КОНВЕРТА С МАРКОЙ
1F587 ; Extended_Pictographic# E0.7 [1] (🖇️) скрепленные скрепки
1F588..1F589 ; Расширенный графический # E0.0 [2] (🖈..🖉) ЧЕРНАЯ КНОПКА .. НИЖНИЙ ЛЕВЫЙ КАРАНДАШ
1F58A..1F58D ; Расширенный графический # E0.7 [4] (🖊️..🖍️) ручка..карандаш
1F58E..1F58F ; Extended_Pictographic# E0.0 [2] (🖎..🖏) ПИШУЩАЯ ЛЕВАЯ РУКА.. ПОВЕРНУТА ЗНАК "ОК"
1F590 ; Extended_Pictographic# E0.7 [1] (🖐️) рука с растопыренными пальцами
1F591..1F594 ; Extended_Pictographic# E0.0 [4] (🖑..🖔) ПОДНЯТАЯ РУКА В ОБРАТНОМ ПОРЯДКЕ С РАСТОПЫРЕННЫМИ ПАЛЬЦАМИ .. ПЕРЕВЕРНУТАЯ ПОБЕДНАЯ РУКА
1F595..1F596 ; Extended_Pictographic# E1.0 [2] (🖕..🖖) средний палец .. вулканское приветствие
1F597..1F5A3 ; Extended_Pictographic# E0.0 [13] (🖗..🖣) УКАЗАТЕЛЬНЫЙ ПАЛЕЦ ЛЕВОЙ РУКИ НАПРАВЛЕН БЕЛЫМ ВНИЗ. УКАЗАТЕЛЬНЫЙ ПАЛЕЦ ЛЕВОЙ РУКИ НАПРАВЛЕН ЧЕРНЫМ ВНИЗ.
1F5A4 ; Расширенный фотограф# E3.0 [1] (🖤) черное сердце
1F5A5 ; Extended_Pictographic# E0.7 [1] (🖥️) настольный компьютер
1F5A6..1F5A7 ; Extended_Pictographic# E0.0 [2] (🖦..🖧) КЛАВИАТУРА И МЫШЬ .. ТРИ СЕТЕВЫХ КОМПЬЮТЕРА
1F5A8 ; Расширенный графический принтер# E0.7 [1] (🖨️)
1F5A9..1F5B0 ; Расширенный графический # E0.0 [8] (🖩..🖰) КАРМАННЫЙ КАЛЬКУЛЯТОР .. ДВУХКНОПОЧНАЯ МЫШЬ
1F5B1..1F5B2 ; Расширенный графический# E0.7 [2] (🖱️..🖲️) компьютерная мышь..трекбол
1F5B3..1F5BB ; Extended_Pictographic# E0.0 [9] (🖳..🖻) СТАРЫЙ ПЕРСОНАЛЬНЫЙ КОМПЬЮТЕР .. ДОКУМЕНТ С ИЗОБРАЖЕНИЕМ
1F5BC ; Extended_Pictographic# E0.7 [1] (🖼️) фотография в рамке
1F5BD..1F5C1 ; Extended_Pictographic# E0.0 [5] (🖽..🗁) РАМКА С ПЛИТКАМИ..ОТКРЫТЬ ПАПКУ
1F5C2..1F5C4 ; Extended_Pictographic# E0.7 [3] (🗂️..🗄️) разделители картотеки..картотечный шкаф
1F5C5..1F5D0 ; Расширенный графический # E0.0 [12] (🗅..🗐) ПУСТЫЕ ЗАМЕТКИ .. СТРАНИЦЫ
1F5D1..1F5D3 ; Расширенный графический # E0.7 [3] (🗑️..🗓️) корзина для мусора .. спиральный календарь
1F5D4..1F5DB ; Extended_Pictographic# E0.0 [8] (🗔..🗛) ОКНО РАБОЧЕГО СТОЛА .. СИМВОЛ УМЕНЬШЕНИЯ РАЗМЕРА ШРИФТА
1F5DC..1F5DE ; Расширенный фотограф # E0.7 [3] (🗜️..🗞️) зажим ..свернутая газета
1F5DF..1F5E0 ; Расширенный графический # E0.0 [2] (🗟..🗠) СТРАНИЦА С ТЕКСТОМ, ОБВЕДЕННЫМ КРУЖКОМ .. БИРЖЕВАЯ ДИАГРАММА
1F5E1 ; Расширенный фотограф# E0.7 [1] (🗡️) кинжал
1F5E2 ; расширенные_пиктографические# E0.0 [1] (🗢) ГУБЫ
1F5E3 ; Расширенный графический номер E0.7 [1] (🗣️) говорящая голова
1F5E4..1F5E7 ; Расширенный фотограф # E0.0 [4] (🗤..🗧) ТРИ ЛУЧА ВВЕРХУ .. ТРИ ЛУЧА СПРАВА
1F5E8 ; Расширенный графический# E2.0 [1] (🗨️) левый речевой пузырь
1F5E9..1F5EE ; Расширенный графический # E0.0 [6] (🗩..🗮) ПРАВЫЙ РЕЧЕВОЙ ПУЗЫРЬ .. ЛЕВЫЙ ПУЗЫРЬ ГНЕВА
1F5EF ; Расширенный графический # E0.7 [1] (🗯️) правый пузырь гнева
1F5F0..1F5F2 ; Extended_Pictographic # E0.0 [3] (🗰..🗲) ПУЗЫРЬ НАСТРОЕНИЯ .. НАСТРОЕНИЕ МОЛНИИ
1F5F3 ; Расширенный графический номер E0.7 [1] (🗳️) урна для голосования с бюллетенем
1F5F4..1F5F9; Расширенный графический # E0.0 [6] (🗴..🗹) СЦЕНАРИЙ ГОЛОСОВАНИЯ X .. УРНА Для ГОЛОСОВАНИЯ С ВЫДЕЛЕННОЙ ЖИРНЫМ ШРИФТОМ ГАЛОЧКОЙ
1F5FA ; Расширенная карта мира # E0.7 [1] (🗺️)
1F5FB..1F5FF ; Расширенный фотограф # E0.6 [5] (🗻..🗿) гора Фудзи..моаи
1F600 ; Расширенный фотограф # E1.0 [1] (😀) ухмыляющееся лицо
1F601..1F606 ; Расширенный фотограф # E0.6 [6] (😁..😆) сияющее лицо с улыбающимися глазами.. ухмыляющееся прищуренное лицо
1F607..1F608 ; Расширенный фотограф # E1.0 [2] (😇..😈) улыбающееся лицо с нимбом .. улыбающееся лицо с рогами
1F609..1F60D ; Расширенный фотограф # E0.6 [5] (😉..😍) подмигивающее лицо .. улыбающееся лицо с глазами-сердечками
1F60E ; Расширенный фотограф # E1.0 [1] (😎) улыбающееся лицо в солнцезащитных очках
1F60F ; Расширенный фотограф # E0.6 [1] (😏) ухмыляющееся лицо
1F610 ; Extended_Pictographic# E0.7 [1] (😐) нейтральная грань
1F611 ; Расширенное фотограф # E1.0 [1] (😑) лицо без выражения 
1F612..1F614 ; Расширенное фотограф# E0.6 [3] (😒..😔) невеселое лицо .. задумчивое лицо 
1F615 ; Расширенный фотограф # E1.0 [1] (😕) растерянное лицо
1F616 ; Extended_Pictographic# E0.6 [1] (😖) искаженное лицо 
1F617 ; Расширенный фотограф # E1.0 [1] (😗) целующееся лицо
1F618 ; Расширенный фотограф # E0.6 [1] (😘) лицо, посылающее воздушный поцелуй
1F619 ; Расширенный фотограф # E1.0 [1] (😙) целующееся лицо с улыбающимися глазами
1F61A ; Расширенная фотография # E0.6 [1] (😚) целующееся лицо с закрытыми глазами
1F61B ; Расширенный фотограф # E1.0 [1] (😛) лицо с языком
1F61C..1F61E ; Расширенный фотограф # E0.6 [3] (😜..😞) подмигивающее лицо с высунутым языком.. разочарованное лицо
1F61F ; Расширенный фотограф # E1.0 [1] (😟) обеспокоенное лицо
1F620..1F625 ; Расширенный фотограф # E0.6 [6] (😠..😥) сердитое лицо .. грустное, но испытывающее облегчение лицо
1F626..1F627 ; Расширенный фотограф # E1.0 [2] (😦..😧) хмурое лицо с открытым ртом .. страдальческое лицо 
1F628..1F62B ; Расширенный фотограф # E0.6 [4] (😨..😫) испуганное лицо ..усталое лицо
1F62C ; Расширенный фотограф # E1.0 [1] (😬) гримасничающее лицо
1F62D ; Расширенный фотограф # E0.6 [1] (😭) громко плачущее лицо
1F62E..1F62F ; Расширенный фотограф # E1.0 [2] (😮..😯) лицо с открытым ртом .. застывшее лицо
1F630..1F633 ; Расширенный фотограф # E0.6 [4] (😰..😳) взволнованное лицо в поту..раскрасневшееся лицо
1F634 ; Расширенный фотограф # E1.0 [1] (😴) лицо спящего
1F635 ; Расширенный фотограф # E0.6 [1] (😵) лицо с перечеркнутыми глазами
1F636 ; Расширенный фотограф # E1.0 [1] (😶) лицо без рта
